You have done an experiment where you have tested how the castrating bacterium,,
Pasteuria ramosa affects survival of its crustacean host Daphnia magna.,,
Use the data below and follow the example from the lecture to,,
a) Create a survival plot in R,,
b) Test the hypothesis below by using R.,,
H0: Daphnia magna infected by Pasteuria ramosa has the same survival as uninfected individuals.,,
c) Use the model to calculate the expected mean age at death for the two groups (infected and uninfected).,,
,,
,,
Group,Day.of.death,Dead
Infected,24,1
Infected,19,1
Infected,33,1
Infected,17,1
Infected,26,1
Infected,100,0
Infected,3,1
Infected,69,1
Infected,43,1
Infected,21,1
Infected,57,1
Infected,51,1
Infected,27,1
Infected,49,1
Infected,56,1
Infected,2,1
Infected,21,1
Infected,22,1
Infected,95,1
Infected,29,1
Infected,48,1
Infected,4,1
Infected,68,1
Infected,68,1
Infected,30,1
Infected,17,1
Infected,25,1
Infected,66,1
Infected,15,1
Infected,54,1
Infected,14,1
Infected,38,1
Infected,14,1
Infected,40,1
Infected,24,1
Infected,67,1
Infected,6,1
Infected,31,1
Infected,2,1
Infected,11,1
Infected,1,1
Infected,56,1
Infected,4,1
Infected,57,1
Infected,35,1
Infected,48,1
Infected,23,1
Infected,2,1
Infected,15,1
Infected,100,0
Infected,8,1
Infected,4,1
Infected,97,1
Infected,25,1
Infected,31,1
Infected,12,1
Infected,14,1
Infected,3,1
Infected,26,1
Infected,21,1
Uninfected,100,0
Uninfected,50,1
Uninfected,100,0
Uninfected,16,1
Uninfected,85,1
Uninfected,100,0
Uninfected,88,1
Uninfected,100,0
Uninfected,61,1
Uninfected,26,1
Uninfected,100,0
Uninfected,100,0
Uninfected,100,0
Uninfected,100,0
Uninfected,3,1
Uninfected,44,1
Uninfected,21,1
Uninfected,42,1
Uninfected,39,1
Uninfected,73,1
Uninfected,83,1
Uninfected,100,0
Uninfected,4,1
Uninfected,100,0
Uninfected,100,0
Uninfected,10,1
Uninfected,7,1
Uninfected,20,1
Uninfected,14,1
Uninfected,55,1
Uninfected,22,1
Uninfected,72,1
Uninfected,100,0
Uninfected,4,1
Uninfected,100,0
Uninfected,100,0
Uninfected,92,1
Uninfected,40,1
Uninfected,79,1
Uninfected,87,1
Uninfected,100,0
Uninfected,1,1
Uninfected,27,1
Uninfected,16,1
Uninfected,10,1
Uninfected,70,1
Uninfected,14,1
Uninfected,9,1
Uninfected,15,1
Uninfected,83,1
Uninfected,79,1
Uninfected,69,1
Uninfected,63,1
Uninfected,14,1
Uninfected,3,1
Uninfected,1,1
Uninfected,100,0
Uninfected,40,1
Uninfected,90,1
Uninfected,11,1
